User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Member_since,Number_of_Comments_in_public_forum,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Risk
9550.0,female,49.9,B,Verified,bisexual,Dominant,Men_and_Women,429,41148,267,0.0,0.0,5.0,No_risk
12262.0,male,35.7,A,Non_Verified,Heterosexual,Submisive,Women,0,41230,0,0.0,0.0,0.0,High_risk
12944.0,male,41.1,A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,0,41254,1,1.0,0.0,0.0,High_risk
1353.0,male,49.6,A,Non_Verified,Heterosexual,Submisive,Nobody,15,40399,0,0.0,0.0,0.0,High_risk
13767.0,male,27.9,A,Non_Verified,bicurious,Submisive,Nobody,5,41282,0,0.0,0.0,0.0,High_risk
15172.0,male,52.3,E,Non_Verified,Heterosexual,Submisive,Nobody,0,41315,0,0.0,0.0,0.0,High_risk
17871.0,male,27.3,F,Non_Verified,Heterosexual,Submisive,Women,15,41406,0,1.0,0.0,0.0,High_risk
19635.0,female,45,A,Non_Verified,Heterosexual,Dominant,Nobody,25,41469,41,0.0,0.0,0.0,High_risk
21180.0,female,33.8,S,Non_Verified,bicurious,Switch,Men_and_Women,12,41530,1,0.0,0.0,0.0,High_risk
22592.0,male,35.2,B,Non_Verified,Heterosexual,Submisive,Women,0,41589,0,0.0,0.0,0.0,High_risk
23282.0,male,27.3,A,Non_Verified,bicurious,Submisive,Men_and_Women,28,41619,13,1.0,0.0,0.0,High_risk
23362.0,male,24.9,B,Verified,Heterosexual,Submisive,Women,512,41622,644,0.0,0.0,0.0,High_risk
2460.0,male,47.2,A,Non_Verified,Heterosexual,Submisive,Nobody,184,40605,222,0.0,0.0,4.0,High_risk
26123.0,male,42.4,F,Non_Verified,bisexual,Submisive,Nobody_but_maybe,15,41740,0,1.0,0.0,0.0,High_risk
34414.0,male,34.3,A,Non_Verified,Heterosexual,Submisive,Women,25,42095,0,0.0,0.0,5.0,High_risk
3474.0,male,36.3,M,Verified,Heterosexual,Submisive,Nobody_but_maybe,307,40787,187,0.0,0.0,0.0,High_risk
34922.0,male,30,B,Verified,Heterosexual,Submisive,Nobody_but_maybe,471,42126,294,0.0,0.0,19.0,High_risk
35359.0,male,36.1,A,Non_Verified,Heterosexual,Submisive,Women,48,42148,38,0.0,0.0,0.0,High_risk
39099.0,male,34.5,J,Non_Verified,Heterosexual,Switch,Women,50,42357,0,1.0,0.0,1.0,High_risk
39386.0,male,46.8,F,Non_Verified,Heterosexual,Switch,Women,55,42372,5,0.0,0.0,11.0,High_risk
42730.0,female,23.3,L,Verified,Heterosexual,Dominant,Nobody_but_maybe,318,42558,9,0.0,1.0,48.0,High_risk
43155.0,female,41.6,K,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,5,42580,8,1.0,0.0,0.0,High_risk
43606.0,male,28.6,A,Non_Verified,bicurious,Submisive,Women,68,42605,4,0.0,0.0,0.0,High_risk
43811.0,male,20.8,A,Non_Verified,bisexual,Submisive,Nobody,15,42616,0,0.0,0.0,0.0,High_risk
44987.0,male,37.7,A,Non_Verified,Heterosexual,Submisive,Women,15,42674,0,0.0,0.0,0.0,High_risk
47131.0,male,28.3,M,Non_Verified,bicurious,Submisive,Nobody,15,42785,0,0.0,0.0,0.0,High_risk
48218.0,male,43.4,H,Non_Verified,Heterosexual,Switch,Nobody,0,42837,0,0.0,0.0,0.0,High_risk
5648.0,male,41.4,K,Non_Verified,Homosexual,Submisive,Men,62,41084,30,0.0,0.0,7.0,High_risk
5675.0,male,36.2,N,Non_Verified,Heterosexual,Submisive,Women,52,41088,51,1.0,0.0,0.0,High_risk
5782.0,male,29.9,A,Non_Verified,Heterosexual,Submisive,Women,155,41091,209,0.0,0.0,0.0,High_risk
6035.0,male,52.3,A,Non_Verified,Heterosexual,Submisive,Women,114,41092,120,1.0,0.0,0.0,High_risk
6288.0,female,28.8,A,Non_Verified,bicurious,Dominant,Nobody,10,41094,11,0.0,0.0,0.0,High_risk
9383.0,female,34.2,L,Verified,Heterosexual,Switch,Nobody,1 626,41143,1894,0.0,2.0,36.0,High_risk
