	Ticker	Report Date	Fiscal Year	Revenue	Cost of Revenue	Operating Income (Loss)	Operating Expenses	Depreciation & Amortization	EBITDA	account_number	organization	authority_types	sectors	primary_industry	primary_questionnaire_sector
64	ABTL	2019-12-31	2019	113981000.0	-91412000.0	-6489000.0	-29058000.0	6454000.0	-35000.0						
65	AC	2017-12-31	2017	26915000.0	0.0	-19673000.0	-46588000.0	16000.0	-19657000.0	427.0	Air Canada	 Investor, Supply Chain	 Air transport	Transportation services	Transport services
66	AC	2018-12-31	2018	22779000.0	0.0	-13480000.0	-36259000.0	21000.0	-13459000.0	427.0	Air Canada	 Investor, Supply Chain	 Air transport	Transportation services	Transport services
67	AC	2019-12-31	2019	31265000.0	0.0	-10045000.0	-41310000.0	30000.0	-10015000.0	427.0	Air Canada	 Investor, Supply Chain	 Air transport	Transportation services	Transport services
68	ACA	2017-12-31	2017	1462400000.0	-1167700000.0	131700000.0	-163000000.0	65700000.0	197400000.0						
69	ACA	2018-12-31	2018	1460400000.0	-1188400000.0	118100000.0	-153900000.0	67600000.0	185700000.0						
70	ACA	2019-12-31	2019	1736900000.0	-1404500000.0	152900000.0	-179500000.0	85800000.0	238700000.0						
71	ACAD	2017-12-31	2017	124901000.0	-9077000.0	-292410000.0	-408234000.0	2713000.0	-289697000.0						
72	ACAD	2018-12-31	2018	223807000.0	-12377000.0	-247444000.0	-458874000.0	3005000.0	-244439000.0						
73	ACAD	2019-12-31	2019	339076000.0	-11344000.0	-246545000.0	-574277000.0	2766000.0	-243779000.0						
74	ACET	2017-06-30	2017	638318000.0	-497526000.0	30554000.0	-110238000.0	23754000.0	54308000.0						
75	ACET	2018-06-30	2018	711359000.0	-599796000.0	-18746000.0	-130309000.0	32812000.0	14066000.0						
76	ACF	2017-06-30	2017	12151000000.0	0.0	4346000000.0	-7805000000.0	6706000000.0	11052000000.0						
77	ACF	2018-06-30	2018	14016000000.0	0.0	5577000000.0	-8439000000.0	7697000000.0	13274000000.0						
78	ACF	2019-06-30	2019	14554000000.0	0.0	6305000000.0	-8249000000.0	7538000000.0	13843000000.0						
79	ACGL	2017-12-31	2017	5627375000.0	0.0	990490000.0	-4636885000.0	125778000.0	1116268000.0						
80	ACGL	2018-12-31	2018	5450568000.0	0.0	892854000.0	-4557714000.0	105670000.0	998524000.0						
81	ACGL	2019-12-31	2019	6928200000.0	0.0	1990591000.0	-4937609000.0	82104000.0	2072695000.0						
82	ACHC	2017-12-31	2017	2836316000.0	-1923597000.0	437882000.0	-474837000.0	143010000.0	580892000.0						
83	ACHC	2018-12-31	2018	3012442000.0	-2086369000.0	390667000.0	-535406000.0	158832000.0	549499000.0						
84	ACHC	2019-12-31	2019	3107462000.0	-2163453000.0	404532000.0	-539477000.0	164044000.0	568576000.0						
85	ACIA	2017-12-31	2017	385166000.0	-217326000.0	37006000.0	-130834000.0	12280000.0	49286000.0						
86	ACIA	2018-12-31	2018	339891000.0	-192771000.0	-7150000.0	-154270000.0	13646000.0	6496000.0						
87	ACIA	2019-12-31	2019	464663000.0	-243981000.0	11401000.0	-209281000.0	12559000.0	23960000.0						
88	ACLS	2017-12-31	2017	410561000.0	-260314000.0	47842000.0	-102405000.0	5002000.0	52844000.0						
89	ACLS	2018-12-31	2018	442575000.0	-262939000.0	59959000.0	-119677000.0	5772000.0	65731000.0						
90	ACLS	2019-12-31	2019	342958000.0	-198806000.0	24205000.0	-119947000.0	7880000.0	32085000.0						
91	ACLZ	2017-12-31	2017	24104624.0	-9066896.0	-1104726.0	-16142454.0	707081.0	-397645.0						
92	ACLZ	2018-12-31	2018	21729605.0	-9075828.0	-8837015.0	-21490792.0	604258.0	-8232757.0						
93	ACM	2017-09-30	2017	18203402000.0	-17519682000.0	550411000.0	-133309000.0	278631000.0	829042000.0						
94	ACM	2018-09-30	2018	20155512000.0	-19504863000.0	514862000.0	-135787000.0	267570000.0	782432000.0						
95	ACM	2019-09-30	2019	20173329000.0	-19359884000.0	665322000.0	-148123000.0	261185000.0	926507000.0						
96	ACN	2017-08-31	2017	36765478000.0	-25734986000.0	4632609000.0	-6397883000.0	801789000.0	5434398000.0						
97	ACN	2018-08-31	2018	41603428000.0	-29160515000.0	5841041000.0	-6601872000.0	926776000.0	6767817000.0						
98	ACN	2019-08-31	2019	43215013000.0	-29900325000.0	6305074000.0	-7009614000.0	892760000.0	7197834000.0						
99	ACN	2020-08-31	2020	44327039000.0	-30350881000.0	6513644000.0	-7462514000.0	1773124000.0	8286768000.0						
100	ACRX	2017-12-31	2017	7995000.0	-10659000.0	-38682000.0	-36018000.0	1744000.0	-36938000.0						
101	ACRX	2018-12-31	2018	2151000.0	-3976000.0	-35727000.0	-33902000.0	575000.0	-35152000.0						
102	ACRX	2019-12-31	2019	2289000.0	-6806000.0	-54205000.0	-49688000.0	1668000.0	-52537000.0						
103	ACY	2017-12-31	2017	34464900.0	0.0	17208300.0	-17256600.0	12025600.0	29233900.0						
104	ACY	2018-12-31	2018	30525100.0	0.0	14434300.0	-16090800.0	12698800.0	27133100.0						
105	ACY	2019-12-31	2019	43442800.0	0.0	26263800.0	-17179000.0	11587500.0	37851300.0						
106	ADBE	2017-11-30	2017	7301505000.0	-1010491000.0	2168095000.0	-4122919000.0	325997000.0	2494092000.0	333.0	Adobe, Inc.	 Investor, Supply Chain	 IT & software development	Services	General
107	ADBE	2018-11-30	2018	9030008000.0	-1194999000.0	2840369000.0	-4994640000.0	346492000.0	3186861000.0	333.0	Adobe, Inc.	 Investor, Supply Chain	 IT & software development	Services	General
108	ADBE	2019-11-30	2019	11171297000.0	-1672720000.0	3268121000.0	-6230456000.0	736669000.0	4004790000.0	333.0	Adobe, Inc.	 Investor, Supply Chain	 IT & software development	Services	General
109	ADES	2017-12-31	2017	35692000.0	-28451000.0	-13814000.0	-21055000.0	789000.0	-13025000.0						
110	ADES	2018-12-31	2018	23945000.0	353000.0	-6400000.0	-30698000.0	723000.0	-5677000.0						
111	ADES	2019-12-31	2019	70086000.0	0.0	-14893000.0	-84979000.0	7371000.0	-7522000.0						
112	ADI	2017-10-31	2017	5107503000.0	-2045907000.0	1055134000.0	-2006462000.0	584059000.0	1639193000.0	746.0	Analog Devices, Inc.	 Investor, Supply Chain	 Electrical & electronic equipment	Manufacturing	General
113	ADI	2018-10-31	2018	6200942000.0	-1967640000.0	1881735000.0	-2351567000.0	799063000.0	2680798000.0	746.0	Analog Devices, Inc.	 Investor, Supply Chain	 Electrical & electronic equipment	Manufacturing	General
114	ADI	2019-10-31	2019	5991065000.0	-1977315000.0	1710608000.0	-2303142000.0	811251000.0	2521859000.0	746.0	Analog Devices, Inc.	 Investor, Supply Chain	 Electrical & electronic equipment	Manufacturing	General
115	ADIL	2017-12-31	2017	-5998525.359818579	5998525.359818579	-995286.0	-995286.0	565.0	-994721.0						
116	ADIL	2018-12-31	2018	-42111542.17147864	42111542.17147864	-6987222.0	-6987222.0	563.0	-6986659.0						
117	ADIL	2019-12-31	2019	-49691487.410822816	49691487.410822816	-8244900.0	-8244900.0	565.0	-8244335.0						
118	ADM	2017-06-30	2017	60828000000.0	-57322000000.0	1513000000.0	-1993000000.0	924000000.0	2437000000.0	912.0	Archer Daniels Midland	 Investor, Supply Chain	 Chemicals, Financial services, Food & beverage processing, Road transport, Trading, wholesale, distribution, rental & leasing	Food, beverage & agriculture	Food, beverage & tobacco
119	ADM	2018-06-30	2018	64341000000.0	-60160000000.0	2016000000.0	-2165000000.0	941000000.0	2957000000.0	912.0	Archer Daniels Midland	 Investor, Supply Chain	 Chemicals, Financial services, Food & beverage processing, Road transport, Trading, wholesale, distribution, rental & leasing	Food, beverage & agriculture	Food, beverage & tobacco
120	ADM	2019-06-30	2019	64656000000.0	-60509000000.0	1654000000.0	-2493000000.0	993000000.0	2647000000.0	912.0	Archer Daniels Midland	 Investor, Supply Chain	 Chemicals, Financial services, Food & beverage processing, Road transport, Trading, wholesale, distribution, rental & leasing	Food, beverage & agriculture	Food, beverage & tobacco
121	ADMA	2017-12-31	2017	22760560.0	-29164321.0	-38464607.0	-32060846.0	2692301.0	-35772306.0						
122	ADMA	2018-12-31	2018	16985290.0	-42194635.0	-60288944.0	-35079599.0	3446398.0	-56842546.0						
123	ADMA	2019-12-31	2019	29349083.0	-39504238.0	-41424327.0	-31269172.0	3258148.0	-38166179.0						
124	ADP	2017-06-30	2017	12379800000.0	-7269800000.0	2326800000.0	-2783200000.0	316100000.0	2642900000.0	1203.0	Automatic Data Processing, Inc.	 Investor, Supply Chain	 Financial services, Specialized professional services	Services	General
125	ADP	2018-06-30	2018	13325800000.0	-7842600000.0	2511700000.0	-2971500000.0	377600000.0	2889300000.0	1203.0	Automatic Data Processing, Inc.	 Investor, Supply Chain	 Financial services, Specialized professional services	Services	General
126	ADP	2019-06-30	2019	14175200000.0	-8086600000.0	3024400000.0	-3064200000.0	409000000.0	3433400000.0	1203.0	Automatic Data Processing, Inc.	 Investor, Supply Chain	 Financial services, Specialized professional services	Services	General
127	ADP	2020-06-30	2020	14589800000.0	-8445100000.0	3141700000.0	-3003000000.0	480000000.0	3621700000.0	1203.0	Automatic Data Processing, Inc.	 Investor, Supply Chain	 Financial services, Specialized professional services	Services	General
128	ADRO	2017-12-31	2017	17239000.0	0.0	-106453000.0	-123692000.0	3985000.0	-102468000.0						
129	ADRO	2018-12-31	2018	15087000.0	0.0	-97368000.0	-112455000.0	4953000.0	-92415000.0						
130	ADRO	2019-12-31	2019	17258000.0	0.0	-85136000.0	-102394000.0	4863000.0	-80273000.0						
131	ADS	2017-12-31	2017	7719400000.0	-4269900000.0	1645500000.0	-1804000000.0	497600000.0	2143100000.0	40183.0	Alliance Data Systems	 Investor, Supply Chain	 Financial services, Specialized professional services, Web & marketing services	Services	General
132	ADS	2018-12-31	2018	7791200000.0	-4220900000.0	1894300000.0	-1676000000.0	487300000.0	2381600000.0	40183.0	Alliance Data Systems	 Investor, Supply Chain	 Financial services, Specialized professional services, Web & marketing services	Services	General
133	ADS	2019-12-31	2019	5581300000.0	-2687800000.0	1379300000.0	-1514200000.0	249300000.0	1628600000.0	40183.0	Alliance Data Systems	 Investor, Supply Chain	 Financial services, Specialized professional services, Web & marketing services	Services	General
134	ADSK	2018-01-31	2017	2056600000.0	-303400000.0	-415000000.0	-2168200000.0	108400000.0	-306600000.0	1198.0	Autodesk, Inc.	 Investor	 IT & software development	Services	General
135	ADSK	2019-01-31	2018	2569800000.0	-285900000.0	16900000.0	-2267000000.0	95200000.0	112100000.0	1198.0	Autodesk, Inc.	 Investor, Supply Chain	 IT & software development	Services	General
136	ADSK	2020-01-31	2019	3274300000.0	-324900000.0	343500000.0	-2605900000.0	127300000.0	470800000.0	1198.0	Autodesk, Inc.	 Investor	 IT & software development	Services	General
137	ADT	2017-12-31	2017	4315502000.0	-895736000.0	347267000.0	-3072499000.0	1863299000.0	2210566000.0						
138	ADT	2018-12-31	2018	4581673000.0	-1041336000.0	362458000.0	-3177879000.0	1930929000.0	2293387000.0						
139	ADT	2019-12-31	2019	5125657000.0	-1390284000.0	339759000.0	-3395614000.0	1989082000.0	2328841000.0						
140	ADVM	2017-12-31	2017	1849000.0	0.0	-58847000.0	-60696000.0	2096000.0	-56751000.0						
141	ADVM	2018-12-31	2018	1612000.0	0.0	-73081000.0	-74693000.0	1750000.0	-71331000.0						
142	ADVM	2019-12-31	2019	250000.0	0.0	-68545000.0	-68795000.0	1573000.0	-66972000.0						
143	AE	2017-12-31	2017	1322060000.0	-49486000.0	1505000.0	-1271069000.0	13599000.0	15104000.0						
144	AE	2018-12-31	2018	1750213000.0	-48169000.0	1408000.0	-1700636000.0	10654000.0	12062000.0						
145	AE	2019-12-31	2019	1811247000.0	-53392000.0	7800000.0	-1750055000.0	16641000.0	24441000.0						
146	AEE	2017-12-31	2017	6177000000.0	-1686000000.0	1458000000.0	-3033000000.0	876000000.0	2334000000.0	661.0	Ameren Corporation	 Investor, Supply Chain	 Energy utility networks	Infrastructure	
147	AEE	2018-12-31	2018	6291000000.0	-1350000000.0	1357000000.0	-3584000000.0	938000000.0	2295000000.0	661.0	Ameren Corporation	 Investor, Supply Chain	 Energy utility networks	Infrastructure	
148	AEE	2019-12-31	2019	5910000000.0	-1422000000.0	1267000000.0	-3221000000.0	1002000000.0	2269000000.0	661.0	Ameren Corporation	 Investor, Supply Chain	 Energy utility networks	Infrastructure	
149	AEHR	2017-05-31	2017	18898000.0	-12118000.0	-4929000.0	-11709000.0	271000.0	-4658000.0						
150	AEHR	2018-05-31	2018	29555000.0	-17169000.0	915000.0	-11471000.0	417000.0	1332000.0						
151	AEHR	2019-05-31	2019	21056000.0	-13454000.0	-4275000.0	-11877000.0	431000.0	-3844000.0						
152	AEHR	2020-05-31	2020	22291000.0	-13920000.0	-2545000.0	-10916000.0	384000.0	-2161000.0						
153	AEIS	2017-12-31	2017	671012000.0	-314631000.0	200770000.0	-155611000.0	9424000.0	210194000.0						
154	AEIS	2018-12-31	2018	718892000.0	-353285000.0	175792000.0	-189815000.0	13592000.0	189384000.0						
155	AEIS	2019-12-31	2019	788948000.0	-473296000.0	59426000.0	-256226000.0	26147000.0	85573000.0						
156	AEO	2018-01-31	2017	3795549000.0	-2425044000.0	302788000.0	-1067717000.0	169473000.0	472261000.0						
157	AEO	2019-01-31	2018	4035720000.0	-2548082000.0	337129000.0	-1150509000.0	170504000.0	507633000.0						
158	AEO	2020-01-31	2019	4308212000.0	-2785911000.0	233345000.0	-1288956000.0	181379000.0	414724000.0						
159	AEP	2017-12-31	2017	15424900000.0	-5311800000.0	3431200000.0	-6681900000.0	1997200000.0	5428400000.0	689.0	American Electric Power Company, Inc.	 Investor	 Energy utility networks, Renewable power generation, Thermal power generation	Power generation	Electric utilities
160	AEP	2018-12-31	2018	16195700000.0	-5786500000.0	2753300000.0	-7655900000.0	2286600000.0	5039900000.0	689.0	American Electric Power Company, Inc.	 Investor	 Energy utility networks, Renewable power generation, Thermal power generation	Power generation	Electric utilities
161	AEP	2019-12-31	2019	15561400000.0	-5106100000.0	2748700000.0	-7706600000.0	2514500000.0	5263200000.0	689.0	American Electric Power Company, Inc.	 Investor	 Energy utility networks, Renewable power generation, Thermal power generation	Power generation	Electric utilities
162	AES	2017-12-31	2017	10530000000.0	-8066000000.0	2249000000.0	-215000000.0	1169000000.0	3418000000.0	304.0	The AES Corporation	 Investor, Supply Chain	 Energy utility networks, Thermal power generation	Infrastructure	Electric utilities
163	AES	2018-12-31	2018	10736000000.0	-8163000000.0	2381000000.0	-192000000.0	1003000000.0	3384000000.0	304.0	The AES Corporation	 Investor, Supply Chain	 Energy utility networks, Thermal power generation	Infrastructure	Electric utilities
164	AES	2019-12-31	2019	10189000000.0	-7840000000.0	2153000000.0	-196000000.0	1045000000.0	3198000000.0	304.0	The AES Corporation	 Investor, Supply Chain	 Energy utility networks, Thermal power generation	Power generation	Electric utilities
165	AFI	2017-12-31	2017	1133700000.0	-963600000.0	-34500000.0	-204600000.0	78700000.0	44200000.0						
166	AFI	2018-12-31	2018	728200000.0	-585000000.0	-17400000.0	-160600000.0	55100000.0	37700000.0						
167	AFI	2019-12-31	2019	626300000.0	-541000000.0	-61100000.0	-146400000.0	50700000.0	-10400000.0						
168	AGCO	2017-12-31	2017	8306500000.0	-6541200000.0	414500000.0	-1350800000.0	279800000.0	694300000.0						
169	AGCO	2018-12-31	2018	9352000000.0	-7355300000.0	501000000.0	-1495700000.0	289900000.0	790900000.0						
170	AGCO	2019-12-31	2019	9041400000.0	-7057100000.0	533700000.0	-1450600000.0	272000000.0	805700000.0						
171	AGIO	2017-12-31	2017	43011000.0	0.0	-320794000.0	-363805000.0	6432000.0	-314362000.0						
172	AGIO	2018-12-31	2018	94387000.0	0.0	-362479000.0	-456866000.0	7172000.0	-355307000.0						
173	AGIO	2019-12-31	2019	117912000.0	0.0	-426333000.0	-544245000.0	8087000.0	-418246000.0						
174	AGLE	2017-12-31	2017	5205000.0	0.0	-27676000.0	-32881000.0	249000.0	-27427000.0						
175	AGLE	2018-12-31	2018	3888000.0	0.0	-45463000.0	-49351000.0	293000.0	-45170000.0						
176	AGLE	2019-12-31	2019	0.0	0.0	-80334000.0	-80334000.0	418000.0	-79916000.0						
177	AGN	2017-12-31	2017	15940700000.0	-2168000000.0	-5921200000.0	-19693900000.0	7368600000.0	1447400000.0	533.0	Allergan plc	 Investor	 Biotech & pharma	Biotech, health care & pharma	General
178	AGN	2018-12-31	2018	15787400000.0	-2191400000.0	-3406500000.0	-17002500000.0	6748600000.0	3342100000.0	533.0	Allergan plc	 Investor	 Biotech & pharma	Biotech, health care & pharma	General
179	AGN	2019-12-31	2019	16088900000.0	-2493100000.0	-892500000.0	-14488300000.0	6061100000.0	5168600000.0	533.0	Allergan plc	 Investor	 Biotech & pharma	Biotech, health care & pharma	General
180	AGNC	2017-12-31	2017	841000000.0	0.0	771000000.0	-70000000.0	3000000.0	774000000.0						
181	AGNC	2018-12-31	2018	229000000.0	0.0	129000000.0	-100000000.0	25000000.0	154000000.0						
182	AGNC	2019-12-31	2019	771000000.0	0.0	688000000.0	-83000000.0	0.0	688000000.0						
183	AGR	2017-12-31	2017	-33618250891.771843	33618250891.771843	-5578000000.0	-5578000000.0	824000000.0	-4754000000.0	63724.0	Avangrid Inc	 Investor, Supply Chain	 Energy utility networks, Thermal power generation	Infrastructure	Electric utilities
184	AGR	2018-12-31	2018	-32153705361.707203	32153705361.707203	-5335000000.0	-5335000000.0	855000000.0	-4480000000.0	63724.0	Avangrid Inc	 Investor, Supply Chain	 Energy utility networks, Thermal power generation	Infrastructure	Electric utilities
