LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
"CZE","EMPEDU","TRY","PC_25_64","A","2020",85.621941,
"CZE","EMPEDU","TRY","PC_25_64","A","2021",86.516075,
"PRT","EMPEDU","TRY","PC_25_64","A","2017",86.72818,
"PRT","EMPEDU","TRY","PC_25_64","A","2018",88.341423,
"PRT","EMPEDU","TRY","PC_25_64","A","2019",88.488724,
"PRT","EMPEDU","TRY","PC_25_64","A","2020",87.931183,
"PRT","EMPEDU","TRY","PC_25_64","A","2021",89.740768,
"OAVG","EMPEDU","TRY","PC_25_64","A","2017",84.756621,
"OAVG","EMPEDU","TRY","PC_25_64","A","2018",85.214266,
"OAVG","EMPEDU","TRY","PC_25_64","A","2019",85.573694,
"OAVG","EMPEDU","TRY","PC_25_64","A","2020",84.551066,
"OAVG","EMPEDU","TRY","PC_25_64","A","2021",85.435486,
"SWE","EMPEDU","TRY","PC_25_64","A","2017",89.491867,
"SWE","EMPEDU","TRY","PC_25_64","A","2018",89.826408,
"SWE","EMPEDU","TRY","PC_25_64","A","2019",90.267899,
"SWE","EMPEDU","TRY","PC_25_64","A","2020",89.290382,
"SWE","EMPEDU","TRY","PC_25_64","A","2021",89.115112,
"FRA","EMPEDU","TRY","PC_25_64","A","2017",85.156898,
"FRA","EMPEDU","TRY","PC_25_64","A","2018",84.914436,
"FRA","EMPEDU","TRY","PC_25_64","A","2019",85.562065,
"FRA","EMPEDU","TRY","PC_25_64","A","2020",84.995026,
"FRA","EMPEDU","TRY","PC_25_64","A","2021",86.304695,
"LVA","EMPEDU","TRY","PC_25_64","A","2017",87.564568,
"LVA","EMPEDU","TRY","PC_25_64","A","2018",89.074181,
"LVA","EMPEDU","TRY","PC_25_64","A","2019",89.259491,
"LVA","EMPEDU","TRY","PC_25_64","A","2020",86.765167,
"LVA","EMPEDU","TRY","PC_25_64","A","2021",85.941711,
"BEL","EMPEDU","TRY","PC_25_64","A","2017",85.217384,
"BEL","EMPEDU","TRY","PC_25_64","A","2018",86.099861,
"BEL","EMPEDU","TRY","PC_25_64","A","2019",86.435471,
"BEL","EMPEDU","TRY","PC_25_64","A","2020",86.164154,
"BEL","EMPEDU","TRY","PC_25_64","A","2021",86.87912,
"IRL","EMPEDU","TRY","PC_25_64","A","2017",84.867844,
"IRL","EMPEDU","TRY","PC_25_64","A","2018",85.067238,
"IRL","EMPEDU","TRY","PC_25_64","A","2019",85.559753,
"IRL","EMPEDU","TRY","PC_25_64","A","2020",84.500572,
"IRL","EMPEDU","TRY","PC_25_64","A","2021",85.681137,
"ITA","EMPEDU","TRY","PC_25_64","A","2017",80.701469,
"ITA","EMPEDU","TRY","PC_25_64","A","2018",81.205719,
"ITA","EMPEDU","TRY","PC_25_64","A","2019",81.502151,
"ITA","EMPEDU","TRY","PC_25_64","A","2020",80.369415,
"ITA","EMPEDU","TRY","PC_25_64","A","2021",82.147942,
"POL","EMPEDU","TRY","PC_25_64","A","2017",88.138359,
"POL","EMPEDU","TRY","PC_25_64","A","2018",88.777138,
"POL","EMPEDU","TRY","PC_25_64","A","2019",88.984108,
"POL","EMPEDU","TRY","PC_25_64","A","2020",89.090797,
"POL","EMPEDU","TRY","PC_25_64","A","2021",90.83107,
"FIN","EMPEDU","TRY","PC_25_64","A","2017",84.865746,
"FIN","EMPEDU","TRY","PC_25_64","A","2018",86.709366,
"FIN","EMPEDU","TRY","PC_25_64","A","2019",86.41304,
"FIN","EMPEDU","TRY","PC_25_64","A","2020",86.791046,
"FIN","EMPEDU","TRY","PC_25_64","A","2021",87.75338,
"GRC","EMPEDU","TRY","PC_25_64","A","2017",71.834778,
"GRC","EMPEDU","TRY","PC_25_64","A","2018",74.148109,
"GRC","EMPEDU","TRY","PC_25_64","A","2019",75.974495,
"GRC","EMPEDU","TRY","PC_25_64","A","2020",75.420647,
"GRC","EMPEDU","TRY","PC_25_64","A","2021",76.14167,
"LUX","EMPEDU","TRY","PC_25_64","A","2017",86.343361,
"LUX","EMPEDU","TRY","PC_25_64","A","2018",85.655914,
"LUX","EMPEDU","TRY","PC_25_64","A","2019",85.57299,
"LUX","EMPEDU","TRY","PC_25_64","A","2020",84.958733,
"LUX","EMPEDU","TRY","PC_25_64","A","2021",85.921867,
"ESP","EMPEDU","TRY","PC_25_64","A","2017",80.939743,
"ESP","EMPEDU","TRY","PC_25_64","A","2018",81.628616,
"ESP","EMPEDU","TRY","PC_25_64","A","2019",81.930359,
"ESP","EMPEDU","TRY","PC_25_64","A","2020",79.928398,
"ESP","EMPEDU","TRY","PC_25_64","A","2021",81.434196,
"HUN","EMPEDU","TRY","PC_25_64","A","2017",85.10128,
"HUN","EMPEDU","TRY","PC_25_64","A","2018",85.793182,
"HUN","EMPEDU","TRY","PC_25_64","A","2019",85.794998,
"HUN","EMPEDU","TRY","PC_25_64","A","2020",85.8964,
"HUN","EMPEDU","TRY","PC_25_64","A","2021",90.695206,
"DNK","EMPEDU","TRY","PC_25_64","A","2017",85.923767,
"DNK","EMPEDU","TRY","PC_25_64","A","2018",86.608482,
"DNK","EMPEDU","TRY","PC_25_64","A","2019",87.609886,
"DNK","EMPEDU","TRY","PC_25_64","A","2020",88.269753,
"DNK","EMPEDU","TRY","PC_25_64","A","2021",87.680939,
"LTU","EMPEDU","TRY","PC_25_64","A","2017",90.661789,
"LTU","EMPEDU","TRY","PC_25_64","A","2018",91.048744,
"LTU","EMPEDU","TRY","PC_25_64","A","2019",91.255867,
"LTU","EMPEDU","TRY","PC_25_64","A","2020",89.881157,
"LTU","EMPEDU","TRY","PC_25_64","A","2021",89.768044,
