LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
"SVK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",76.962738,
"SVK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",78.837906,
"AUT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",76.641907,
"AUT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",77.626114,
"AUT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",78.067055,
"AUT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",76.374619,
"AUT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",75.872192,
"EST","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",78.770027,
"EST","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",79.915634,
"EST","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",80.630501,
"EST","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",79.383522,
"EST","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",79.32415,
"SVN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",70.051704,
"SVN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",75.877327,
"SVN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",76.829208,
"SVN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",75.705383,
"SVN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",75.47,
"FRA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",73.024368,
"FRA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",73.486595,
"FRA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",73.19117,
"FRA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",72.472282,
"FRA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",74.272713,
"OAVG","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",75.282215,
"OAVG","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",76.132164,
"OAVG","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",76.53906,
"OAVG","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",74.757155,
"OAVG","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",75.285703,
"CZE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",82.215881,
"CZE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",83.511574,
"CZE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",83.994926,
"CZE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",83.538231,
"CZE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",83.438309,
"PRT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",81.635704,
"PRT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",83.510033,
"PRT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",84.514481,
"PRT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",81.548035,
"PRT","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",82.282066,
"LVA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",72.896797,
"LVA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",75.128372,
"LVA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",75.146317,
"LVA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",75.520607,
"LVA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",73.399704,
"HUN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",77.582481,
"HUN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",78.335846,
"HUN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",79.937408,
"HUN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",79.292191,
"HUN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",82.493607,
"POL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",69.591835,
"POL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",70.381065,
"POL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",70.704414,
"POL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",71.546059,
"POL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",73.677704,
"IRL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",71.937363,
"IRL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",73.633385,
"IRL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",74.656708,
"IRL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",71.723053,
"IRL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",72.293655,
"NLD","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",80.105301,
"NLD","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",81.152107,
"NLD","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",82.317284,
"NLD","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",82.16227,
"NLD","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",82.930016,
"SWE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",86.019341,
"SWE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",86.612442,
"SWE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",85.586319,
"SWE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",85.081825,
"SWE","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",84.049675,
"ITA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",70.968208,
"ITA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",70.875648,
"ITA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",71.438919,
"ITA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",69.768456,
"ITA","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",70.300041,
"LTU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",73.441284,
"LTU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",75.150528,
"LTU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",74.767952,
"LTU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",73.166847,
"LTU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",73.673454,
